Name,Logo,URL,Logo Size,Logo Background,Featured,Featured Order,Website Permission
University of Cambridge,cambridge.jpg,http://cam.ac.uk,long,,true,1,yes
Directory of Open Access Journals,doaj.jpg,https://doaj.org,long,,true,2,yes
University of Hull,hull.svg,http://www2.hull.ac.uk/,long,,true,3,yes
University of Oxford,oxford.gif,http://ox.ac.uk,long,,true,4,yes
Public Library of Science,plos.svg,http://plos.org,long,,true,5,yes
World Nuclear Association,wna2.png,http://world-nuclear.org,short,,true,6,yes
Jisc,jisc-logo.svg,http://jisc.ac.uk,square,,true,7,yes
University of Oslo,oslo.svg,http://uio.no,square,,true,10,yes
Wellcome Trust,wellcome.svg,http://wellcome.ac.uk,square,,true,8,yes
Artemis Intelligent Power,artemis.png,http://www.artemisip.com/,long,#005770,,,yes
British Library,bl2.jpg,https://bl.uk,square,,,,yes
Brunel University,brunel.png,https://brunel.ac.uk,long,,,,yes
Centre for Research Communications,crc.gif,http://crc.nottingham.ac.uk/,long,,,,yes
University of Edinburgh,edinburgh2.png,https://ed.ac.uk,square,,,,yes
University of Exeter,exeter2.jpg,https://www.exeter.ac.uk/,long,,,,yes
Kings College London,kcl2.jpg,https://www.kcl.ac.uk/index.aspx,square,,,,yes
Open Knowledge,ok.png,https://okfn.org/,square,,,,yes
Standford University,stanford.png,https://www.stanford.edu/,short,,,,yes
Royal Commission for the Exhibition of 1851,1851.png,https://www.royalcommission1851.org/,short,,,,
Acuity Commodities,acuity.png,https://www.acuitycommodities.com/,long,,,,yes
Crossref,crossref.svg,https://www.crossref.org/,square,,,,
ArtTactic,arttactic.svg,https://arttactic.com/,long,,,,yes
Education Scotland,educationscotland.png,https://education.gov.scot/,short,,,,
Dryad,dryad.png,https://datadryad.org/,short,,,,
Kudos,kudos.png,https://www.growkudos.com/,long,,,,
National Institute for Materials Science,nims.png,https://www.nims.go.jp/eng/,short,,true,9,
SPARC,sparc.png,https://sparcopen.org/,long,,,,
AntLeaf,antleaf.jpg,http://antleaf.com/,long,,,,
OA.Works,oaworks.svg,https://oa.works,long,#24201E,TRUE,11,yes
